Name,Description,Units,Yearly,Monthly,Daily,PFT,Compartments,Layers,Placeholder
BURNTHICK,Ground burn thickness ,m,y,m,,,,,
BURNSOIC,Burned soil C,gC/m2/time,y,m,,,,,
BURNSOILN,Burned soil N,gN/m2/time,y,,,,,l,
BURNVEGC,Burned vegetation C,gC/m2/time,y,m,,p,c,,
BURNVEGN,Burned vegetation N,gN/m2/time,y,,,p,,,
GROWSTART,Growing starting day,DOY,y,,,,,,
GROWEND,Growing ending day,DOY,y,,,,,,
PERMAFROST,Permafrost (1 or 0),,y,,,,,,
MOSSDZ,Moss thickness,m,y,,,,,,
SHLWDZ,Fibrous SOM layer thickness,m,y,,,,,,
DEEPDZ,Amorphous SOM layer thickness,m,y,,,,,,
LAI,LAI,m2/m2,y,m,,p,c,,
VEGC,Total veg. biomass C,gC/m2,y,m,,p,c,,
VEGN,Total veg. biomass N,gN/m2,y,m,,p,c,,
GPP,GPP,gC/m2/time,y,m,,p,c,,
NPP,NPP,gC/m2/time,y,m,,p,c,,
RH,Heterotrophic respiration,gC/m2/time,y,m,,,,l,
LTRFALC,Litterfall C,gC/m2/time,y,m,,p,c,,
LTRFALN,Litterfall N,gN/m2/time,y,m,,p,c,,
SOC,Soil organic C,gC/m2,y,m,,,,l,
SHLWC,Fibrous SOM C,gC/m2,y,m,,,,,
DEEPC,Amorphous SOM C,gC/m2,y,m,,,,,
MINEC,Mineral SOM C,gC/m2,y,m,,,,,
ORGN,Total soil organic N,gN/m2,y,m,,,,l,
AVLN,Total soil available N,gN/m2,y,m,,,,l,
NETNMIN,Soil net N mineralization,gN/m2/time,y,m,,,,l,
NUPTAKE,N uptake by plants,gN/m2/time,y,m,,,,l,
NINPUT,N inputs into soil,gN/m2/time,y,m,,,,l,
NLOST,N losses from soil,gN/m2/time,y,m,,,,l,
EET,Actual ET,mm/m2/time,y,m,d,p,,,
PET,Potential ET,mm/m2/time,y,m,d,p,,,
DRAINAGE,Water drainage,mm/m2/time,y,m,d,,,?,
RUNOFF,Water runoff,mm/m2/time,y,m,d,,,?,
SNOWTHICK,Snow pack thickness,m,y,m,d,,,,
SWE,Snow water equivalent,kg/m2,y,m,d,,,,
WATERTAB,Water table,m,y,m,d,,,,
ALD,Soil active layer depth,m,y,,,,,,
VWCSHLW,Volume water content (vwc) in fibrous layer,,y,m,d,,,,
VWCDEEP,VWC in amorphous layer,,y,m,d,,,,
VWCMINETOP,VWC top 20 cm mineral layer,,y,m,d,,,,
VWCMINEBOT,VWC below 20 cm mineral layer,,y,m,d,,,,
TSHLW,Temperature in fibrous layer,oC,y,m,d,,,,
TDEEP,Temperature in amorphous layer,oC,y,m,d,,,,
TMINETOP,Temperature in top 20 cm mineral layer,oC,y,m,d,,,,
TMINEBOT,Temperature below 20 cm mineral layer,oC,y,m,d,,,,
HKSHLW,Hydraulic conductivity in fibrous layer,mm/day,y,m,d,,,,
HKDEEP,Hydraulic conductivity in amorphous layer,mm/day,y,m,d,,,,
HKMINETOP,Hydraulic conductivity in top 20 cm mineral layer,mm/day,y,m,d,,,,
HKMINEBOT,Hydraulic conductivity below 20 cm mineral layer,mm/day,y,m,d,,,,
TCSHLW,Thermal conductivity in fibrous layer,W/m/K,y,m,d,,,,
TCDEEP,Thermal conductivity in amorphous layer,W/m/K,y,m,d,,,,
TCMINETOP,Thermal conductivity in top 20 cm mineral layer,W/m/K,y,m,d,,,,
TCMINEBOT,Thermal conductivity below 20 cm mineral layer,W/m/K,y,m,d,,,,
TROCK34M,Temperature in rock layer,oC,y,m,d,,,,
SOMCTD,SOM C thaw depth,gC/m2,y,m,,,,,
VWCTD,VWC thaw depth,,y,m,d,,,,
TTD,Temperature thaw depth,oC,y,m,d,,,,
SNOWSTART,DOY of first snow fall,DOY,y,,,,,,
SNOWEND,DOY of last snow fall,DOY,y,,,,,,
NDEOP,N deposit,gN/m2/time,y,m,,,,,
DEADC,Standing dead C,gC/m2/time,y,m,,,,,
DEADN,Standing dead N,gN/m2/time,y,m,,,,,
DWDC,Dead woody debris C,gC/m2/time,y,m,,,,,
DWDN,Dead woody debris N,gN/m2/time,y,m,,,,,
WDRH,Dead woody debris HR,gC/m2/time,y,m,,,,,
ORL,Relative OL burn,,y,,,,,,
