Name,Description,Units,Yearly,Monthly,Daily,PFT,Compartments,Layers,Data Type,Placeholder
ALD,Soil active layer depth,m,,invalid,invalid,invalid,invalid,invalid,double,
AVLN,Total soil available N,gN/m2,,,invalid,invalid,invalid,,double,
BURNAIR2SOIN,Nitrogen deposit from fire emission,gN/m2/time,,,invalid,invalid,invalid,invalid,double,
BURNSOIC,Burned soil C,gC/m2/time,,,invalid,invalid,invalid,invalid,double,
BURNSOILN,Burned soil N,gN/m2/time,,,invalid,invalid,invalid,invalid,double,
BURNTHICK,Ground burn thickness,m,,,invalid,invalid,invalid,invalid,double,
BURNVEG2AIRC,Burned vegetation C to atmosphere,gC/m2/time,,,invalid,invalid,invalid,invalid,double,
BURNVEG2AIRN,Burned vegetation N to atmosphere,gN/m2/time,,,invalid,invalid,invalid,invalid,double,
BURNVEG2DEADC,Burned vegetation C to standing dead C,gC/m2/time,,,invalid,invalid,invalid,invalid,double,
BURNVEG2DEADN,Burned vegetation N to standing dead N,gN/m2/time,,,invalid,invalid,invalid,invalid,double,
BURNVEG2SOIABVC,Burned vegetation C to soil above,gC/m2/time,,,invalid,invalid,invalid,invalid,double,
BURNVEG2SOIABVN,Burned vegetation N to soil above,gN/m2/time,,,invalid,invalid,invalid,invalid,double,
BURNVEG2SOIBLWC,Burned vegetation C to soil below,gC/m2/time,,,invalid,invalid,invalid,invalid,double,
BURNVEG2SOIBLWN,Burned vegetation N to soil below,gN/m2/time,,,invalid,invalid,invalid,invalid,double,
DEADC,Standing dead C,gC/m2/time,,,invalid,invalid,invalid,invalid,double,
DEADN,Standing dead N,gN/m2/time,,,invalid,invalid,invalid,invalid,double,
DEEPC,Amorphous SOM C,gC/m2,,,invalid,invalid,invalid,invalid,double,
DEEPDZ,Amorphous SOM layer thickness,m,,invalid,invalid,invalid,invalid,invalid,double,
DRIVINGNIRR,Input driving NIRR,W/m2,invalid,invalid,,invalid,invalid,invalid,float,
DRIVINGRAINFALL,Input driving precip data after being split from snowfall,mm,invalid,invalid,,invalid,invalid,invalid,float,
DRIVINGSNOWFALL,Input driving precip data after being split from rainfall,mm,invalid,invalid,,invalid,invalid,invalid,float,
DRIVINGTAIR,Input driving air temperature data,degree_C,invalid,invalid,,invalid,invalid,invalid,float,
DRIVINGVAPO,Input driving vapor pressure,hPa,invalid,invalid,,invalid,invalid,invalid,float,
DWDC,Dead woody debris C,gC/m2/time,,,invalid,invalid,invalid,invalid,double,
DWDN,Dead woody debris N,gN/m2/time,,,invalid,invalid,invalid,invalid,double,
EET,Actual ET,mm/m2/time,,,,,invalid,invalid,double,
FRONTSDEPTH,Depth of fronts,mm,,,,invalid,invalid,,double,
FRONTSTYPE,Front types,unitless,,,,invalid,invalid,,int,
GPP,GPP,gC/m2/time,,,invalid,,,invalid,double,
GROWEND,Growing ending day,DOY,,invalid,invalid,invalid,invalid,invalid,int,
GROWSTART,Growing starting day,DOY,,invalid,invalid,invalid,invalid,invalid,int,
HKDEEP,Hydraulic conductivity in amorphous layer,mm/day,,,,invalid,invalid,invalid,double,
HKLAYER,Hydraulic conductivity by layer,mm/day,,,invalid,invalid,invalid,,double,
HKMINEA,Hydraulic conductivity top mineral,mm/day,,,,invalid,invalid,invalid,double,
HKMINEB,Hydraulic conductivity middle mineral,mm/day,,,,invalid,invalid,invalid,double,
HKMINEC,Hydraulic conductivity bottom mineral,mm/day,,,,invalid,invalid,invalid,double,
HKSHLW,Hydraulic conductivity in fibrous layer,mm/day,,,,invalid,invalid,invalid,double,
INGPP,GPP without N limitation,gC/m2/time,,,invalid,,,invalid,double,
INNPP,NPP witout N limitation,gC/m2/time,,,invalid,,,invalid,double,
INNUPTAKE,Unlimited N uptake by plants. N uptake by happy plants when N is not limited.,gN/m2/time,,,invalid,,invalid,invalid,double,
IWCLAYER,IWC by layer,m3/m3,,,invalid,invalid,invalid,,double,
LAI,Leaf Area Index,m2/m2,,,invalid,,invalid,invalid,double,
LATERALDRAINAGE,Qdrain per layer,mm,,,,invalid,invalid,,double,
LAYERDEPTH,Layer depth from the surface,m,,,invalid,invalid,invalid,,double,
LAYERDZ,Thickness of layer,m,,,invalid,invalid,invalid,,double,
LAYERTYPE,0:moss 1:shlw 2:deep 3:mineral,unitless,,,invalid,invalid,invalid,,int,
LTRFALC,Litterfall C,gC/m2/time,,,invalid,,,invalid,double,
LTRFALN,Litterfall N,gN/m2/time,,,invalid,,,invalid,double,
LWCLAYER,LWC by layer,m3/m3,,,invalid,invalid,invalid,,double,
MINEC,Mineral SOM C,gC/m2,,,invalid,invalid,invalid,invalid,double,
MOSSDEATHC,Moss death carbon,gC/m2/time,,,invalid,invalid,invalid,invalid,double,
MOSSDEATHN,Moss death nitrogen,gN/m2/time,,,invalid,invalid,invalid,invalid,double,
MOSSDZ,Moss thickness,m,,invalid,invalid,invalid,invalid,invalid,double,
NDRAIN,N losses from drainage (AVLN),gN/m2/time,invalid,invalid,invalid,invalid,invalid,invalid,double,
NETNMIN,Soil net N mineralization,gN/m2/time,,,invalid,invalid,invalid,,double,
NIMMOB,Nitrogen immobilization,gN/m2/time,,,invalid,invalid,invalid,,double,
