name,bounds,initial,cmtnum,pftnum
nmax,"[2.7069728, 4.0604592]",3.383716,1,0
nmax,"[1.236704, 1.8550559999999998]",1.54588,1,1
nmax,"[0.8000336000000001, 1.2000504]",1.000042,1,2
nmax,"[2.8414096, 4.2621144]",3.551762,1,3
krb(0),"[-4.8, -7.2]",-6.0,1,0
krb(0),"[-2.7600000000000002, -4.140000000000001]",-3.45,1,1
krb(0),"[-2.3600000000000003, -3.54]",-2.95,1,2
krb(0),"[-3.72, -5.58]",-4.65,1,3
krb(1),"[-3.904, -5.856]",-4.88,1,0
krb(1),"[-4.12, -6.180000000000001]",-5.15,1,1
krb(1),"[-5.32, -7.98]",-6.65,1,2
krb(2),"[-6.56, -9.84]",-8.2,1,0
krb(2),"[-4.96, -7.44]",-6.2,1,1
krb(2),"[-2.56, -3.8400000000000003]",-3.2,1,2
cfall(0),"[0.0008856, 0.0013284]",0.001107,1,0
cfall(0),"[0.040577600000000005, 0.0608664]",0.050722,1,1
cfall(0),"[0.0199896, 0.029984399999999998]",0.024987,1,2
cfall(0),"[0.015942400000000002, 0.0239136]",0.019928,1,3
cfall(1),"[0.0027256, 0.0040884]",0.003407,1,0
cfall(1),"[0.003832, 0.005748]",0.00479,1,1
cfall(1),"[0.002872, 0.004308]",0.00359,1,2
cfall(2),"[0.0041192, 0.0061788]",0.005149,1,0
cfall(2),"[0.0009368, 0.0014052]",0.001171,1,1
cfall(2),"[0.020819999999999998, 0.03123]",0.026025,1,2
nfall(0),"[0.008193599999999999, 0.0122904]",0.010242,1,0
nfall(0),"[0.035643999999999995, 0.053466]",0.044555,1,1
nfall(0),"[0.0141984, 0.0212976]",0.017748,1,2
nfall(0),"[0.0058000000000000005, 0.008700000000000001]",0.00725,1,3
nfall(1),"[0.0010744, 0.0016116]",0.001343,1,0
nfall(1),"[0.0011392, 0.0017088]",0.001424,1,1
nfall(1),"[0.004176, 0.006264]",0.00522,1,2
nfall(2),"[0.002624, 0.003936]",0.00328,1,0
nfall(2),"[0.005826400000000001, 0.0087396]",0.007283,1,1
nfall(2),"[0.0060856, 0.0091284]",0.007607,1,2
micbnup,"[0.35960000000000003, 0.5394]",0.4495,1,None
kdcrawc,"[0.5072, 0.7608]",0.634,1,None
kdcsoma,"[0.43200000000000005, 0.648]",0.54,1,None
kdcsompr,"[0.0016, 0.0024000000000000002]",0.002,1,None
kdcsomcr,"[5.599999999999999e-05, 8.4e-05]",7e-05,1,None
