name,bounds,initial,cmtnum,pftnum
nmax,"[2.356, 2.604]",2.48,1,0
nmax,"[0.6555, 0.7244999999999999]",0.69,1,1
nmax,"[1.3299999999999998, 1.47]",1.4,1,2
nmax,"[3.268, 3.612]",3.44,1,3
krb(0),"[-11.685, -12.915000000000001]",-12.3,1,0
krb(0),"[-3.4865, -3.8535]",-3.67,1,1
krb(0),"[-2.6599999999999997, -2.94]",-2.8,1,2
krb(0),"[-4.6834999999999996, -5.1765]",-4.93,1,3
krb(1),"[-4.8069999999999995, -5.313]",-5.06,1,0
krb(1),"[-5.9944999999999995, -6.6255]",-6.31,1,1
krb(1),"[-6.099, -6.741]",-6.42,1,2
krb(2),"[-6.9254999999999995, -7.6545000000000005]",-7.29,1,0
krb(2),"[-3.325, -3.675]",-3.5,1,1
krb(2),"[-2.698, -2.9819999999999998]",-2.84,1,2
cfall(0),"[0.019950000000000002, 0.02205]",0.021,1,0
cfall(0),"[0.0456, 0.0504]",0.048,1,1
cfall(0),"[0.017099999999999997, 0.0189]",0.018,1,2
cfall(0),"[0.00475, 0.00525]",0.005,1,3
cfall(1),"[0.0007143999999999999, 0.0007896]",0.000752,1,0
cfall(1),"[0.004085, 0.004515]",0.0043,1,1
cfall(1),"[0.00285, 0.00315]",0.003,1,2
cfall(2),"[0.001805, 0.001995]",0.0019,1,0
cfall(2),"[0.00646, 0.00714]",0.0068,1,1
cfall(2),"[0.019, 0.021]",0.02,1,2
nfall(0),"[0.0114, 0.0126]",0.012,1,0
nfall(0),"[0.056999999999999995, 0.063]",0.06,1,1
nfall(0),"[0.04085, 0.045149999999999996]",0.043,1,2
nfall(0),"[0.006745, 0.007455000000000001]",0.0071,1,3
nfall(1),"[0.03135, 0.03465]",0.033,1,0
nfall(1),"[0.00114, 0.0012599999999999998]",0.0012,1,1
nfall(1),"[0.006175, 0.0068249999999999995]",0.0065,1,2
nfall(2),"[0.001425, 0.001575]",0.0015,1,0
nfall(2),"[0.005035, 0.005565]",0.0053,1,1
nfall(2),"[0.007942, 0.008778]",0.00836,1,2
micbnup,"[0.13110000000000002, 0.1449]",0.138,1,None
kdcrawc,"[0.5985, 0.6615]",0.63,1,None
kdcsoma,"[0.5605, 0.6194999999999999]",0.59,1,None
kdcsompr,"[0.0011970000000000001, 0.001323]",0.00126,1,None
kdcsomcr,"[5.3675e-07, 5.9325e-07]",5.65e-07,1,None
