,year,tair_mean,tair_std,nirr_mean,nirr_std,precip_sum,vapor_press_mean,vapor_press_std
0,1901,-3.8435476,13.797724131454187,94.83647,80.22806359168614,345.5893,396.1927,348.21463212830315
1,1902,-4.3435388,14.760566006957296,94.64698,79.90847560535774,301.86172,414.3631,379.52763791208423
2,1903,-4.3352194,14.069172516194238,94.90713,78.81149569166843,222.63976,399.1864,364.6304868969195
3,1904,-4.6352134,14.71521494023663,92.338455,77.22510582667806,286.4472,402.68192,357.2111243615234
4,1905,-2.2685387,12.599439797163278,90.29129,75.94352753908528,339.0938,473.2324,344.9407590723557
5,1906,-4.2102156,15.273842671443271,94.201866,78.56886026004877,327.97217,421.65558,356.05827334048035
6,1907,-4.2685394,14.601988629623266,94.17484,79.01620908553608,335.69568,423.78592,376.07618547273654
7,1908,-3.5602248,13.03156547482616,92.02594,77.15615470873458,277.7621,431.9677,375.6889682931553
8,1909,-5.86021,15.540194746876539,93.68544,79.03890466969064,245.83565,401.68616,366.0145062120189
9,1910,-4.801887,14.401592306868963,97.02134,82.43564189830366,399.62436,403.60406,342.0128016349863
10,1911,-4.035207,14.494898098026605,94.203094,79.95149935711835,322.2364,432.23068,361.8721898808607
11,1912,-2.01855,12.136539587511935,91.31355,76.86185363439802,296.39032,476.69583,348.5608742275929
12,1913,-3.7435439,13.875097352471704,93.36571,79.84657176064698,304.61008,434.73502,354.34881261133097
13,1914,-2.326903,12.609470781340578,91.94309,77.73925155049406,424.2496,459.90887,362.00400805181044
14,1915,-2.0768778,13.442298945168742,94.07118,80.60666972000416,369.80072,492.39975,402.4102985565446
15,1916,-4.026879,14.56759664597886,93.81908,80.10872266755958,394.6436,440.51373,360.9030722841567
16,1917,-4.7435412,15.047745703643473,94.42635,79.61614279355868,307.84424,414.3108,361.44025201192335
17,1918,-4.6435704,14.211477763357221,95.31607,81.34481961769139,367.80063,403.55188,364.3499136357128
18,1919,-3.9602256,13.96494428081488,91.757416,78.01453136105067,353.09384,447.33185,377.2092764070694
19,1920,-4.6435447,13.485350648007824,94.182175,79.37917428510956,325.0383,402.4225,349.7164789892087
20,1921,-3.8935583,14.034017586603996,92.28571,77.67910222223513,393.40045,437.64032,373.86517303948796
21,1922,-3.9435396,12.710631706791105,94.43707,80.02065796239556,321.59155,408.977,318.44104121351126
22,1923,-2.7435718,14.416123013537398,94.65528,80.59562783757406,352.37497,472.8543,377.6247158355546
23,1924,-4.1185584,13.099890268685629,90.807686,77.8580606870815,284.46405,424.00912,339.53726326380416
24,1925,-3.885203,15.166818102607124,93.22864,79.80739044326764,331.41736,440.54456,351.44064815092645
25,1926,-0.9518733,12.251278250775924,93.349205,80.08819175692477,304.78912,511.71042,330.75471185802036
26,1927,-4.6769013,14.471841933943425,92.15618,78.43160309787741,261.4937,423.06897,380.25416906321396
27,1928,-2.5768821,11.986877935637004,90.42154,76.75317498960527,335.53775,444.09457,327.37995817294035
28,1929,-2.7518756,12.792710498293554,91.23234,77.4994875336864,406.18982,461.165,341.2391915737481
29,1930,-4.018556,14.231722271190968,91.9886,78.51804054660725,409.63727,439.57443,378.21289313344687
30,1931,-3.1518767,12.161798486526852,91.9898,78.08273943074353,300.22565,434.83917,320.7453758386599
31,1932,-4.8852305,15.067133501291762,92.46912,78.2883692538525,338.10886,421.80768,353.85927183526064
32,1933,-5.543553,15.2686168235156,95.10669,80.36898856372368,297.75153,386.96283,339.9457514413735
33,1934,-3.2435498,13.600436040572818,93.07072,78.96628967700512,243.01778,443.21436,335.358378868972
