time,year,month,air_temperature_celsius,precipitation_mm,shortwave_radiation_wm2,vapor_pressure_pa,vpd_pa
1950-02-01,1950,2,-28.10458636965069,7.073948317078305,41.05846478174603,38.585816649440936,21.433233022590386
1950-03-01,1950,3,-8.497208105107745,7.263160195531526,103.41613431112457,232.13040615601133,89.4962988794924
1950-04-01,1950,4,-4.167729632059718,6.2446212444946525,193.3109899691358,305.6793323641586,142.86619905637508
1950-05-01,1950,5,6.187832953340262,32.509989747136814,233.9695221027479,587.8348728649651,359.45887021168267
1950-06-01,1950,6,12.746009763081872,38.11957226665541,242.3155802469136,927.3151230207908,545.6577223012604
1950-07-01,1950,7,16.12973380140079,73.44588560306065,237.534340651135,1171.81874845135,661.45862730298
1950-08-01,1950,8,13.844575931179918,19.588987573019523,188.37901284348865,973.7879293223532,608.6592097403661
1950-09-01,1950,9,6.564169544643846,61.729755104032336,97.24232988522375,698.7619833014668,273.4583439048371
1950-10-01,1950,10,-4.863470048801844,21.9611720563222,46.87166674824741,322.3208958807871,103.23424082399032
1950-11-01,1950,11,-20.449836921691883,31.24090893516396,11.79029475308642,88.8981233351726,30.94271468407632
1950-12-01,1950,12,-19.095307085590942,19.508045212830893,1.2707078853046594,104.99007804339465,29.767264543979223
1951-01-01,1951,1,-26.660241313647163,18.328947724850053,6.446751792114696,51.1445860017031,17.502992586300287
1951-02-01,1951,2,-19.351857793898773,35.11219367550922,30.68268766534392,93.55035918105924,38.26058515113121
1951-03-01,1951,3,-19.39142597567647,11.811362701731554,104.14829087853288,86.54293199449654,44.818746304221094
1951-04-01,1951,4,-1.982934972974988,11.007362479293905,180.51795293209875,381.8151171012239,146.24688629048023
1951-05-01,1951,5,6.739365062918751,26.151876908567573,250.8536925029869,601.7531394632026,382.2670459019462
1951-06-01,1951,6,11.6273910734389,89.28731257188716,254.29335185185184,846.0886282134542,522.3004076819606
1951-07-01,1951,7,14.208876648769603,66.73804274268846,211.4221833930705,1099.113204292221,521.1807391242182
1951-08-01,1951,8,13.40150302763908,71.95393906925673,160.78175104540023,1033.6771343830671,503.7867109750762
1951-09-01,1951,9,6.7402837965223625,48.20818271026894,95.82891280826522,698.2644731185297,285.81792230644805
1951-10-01,1951,10,-7.22905375572941,20.70978622233,50.97514484774682,245.8283733934243,109.1709171885033
1951-11-01,1951,11,-11.393614069620751,21.23255579390104,10.31520524691358,205.1159412794956,50.51973367746871
1951-12-01,1951,12,-21.502412582725583,42.29104304441478,1.2166860812425329,82.91355485067461,26.37456565802215
1952-01-01,1952,1,-25.021877444687675,26.25566406245028,6.472670250896058,52.9602809759302,26.809180642710956
1952-02-01,1952,2,-18.90894840284324,8.273991474329279,35.31904374201788,100.13097537766544,36.80338754384982
1952-03-01,1952,3,-14.086815610495933,10.76469191796292,100.60975651420856,148.50593546990746,56.87752540850846
1952-04-01,1952,4,-4.924368900722925,23.176748656510423,192.93983719135804,295.3234422619959,128.26995318904744
1952-05-01,1952,5,1.4577314192248991,30.77842504935191,241.75154345878136,455.4966756280022,223.2003326609323
1952-06-01,1952,6,12.003942044576036,126.22020353840212,235.06262808641972,995.4250182846454,407.41621056696636
1952-07-01,1952,7,13.704940373410466,85.5221995206854,187.28674581839903,1102.1540644902796,465.99346441062903
1952-08-01,1952,8,10.07712026616582,63.582283121792926,145.05909722222222,904.3316279130896,329.92018454726656
1952-09-01,1952,9,3.2184142642551024,59.15287623379939,95.08517361111112,566.798761082584,202.76298741783648
1952-10-01,1952,10,-2.249216994418873,30.20732713218877,44.196096016395046,398.041542499947,119.70450893933798
1952-11-01,1952,11,-9.63745825025768,19.842870269485505,9.730657407407408,231.91421647681284,62.116865297949744
1952-12-01,1952,12,-17.400727233066334,4.028180805562442,1.354937275985663,113.53385568739836,42.20840438982913
1953-01-01,1953,1,-25.529767325616632,5.167529739196652,6.694018817204301,49.372363973238336,26.788023608055397
1953-02-01,1953,2,-15.827801881517644,10.05229809110375,29.534905753968253,131.26318107275284,46.51867864500741
1953-03-01,1953,3,-14.675882187709988,12.61401911183313,107.11792347168551,142.59493568438614,53.049703141365825
1953-04-01,1953,4,-1.2374379263983428,13.83401802626949,185.45144907407408,357.66420260200266,200.25315346305376
1953-05-01,1953,5,7.403678327991145,41.59092670757403,218.6372020609319,643.8681254446866,386.0494591933549
1953-06-01,1953,6,14.06677858564592,106.37009426013933,225.50633796296296,1088.949322221613,516.4887927352383
1953-07-01,1953,7,14.816318171511456,100.68762951686948,222.870445041816,1188.1264976387838,497.04153755352354
1953-08-01,1953,8,11.703267321022622,97.95454247259272,144.28442502986857,980.4577036916476,394.81313411175574
1953-09-01,1953,9,5.778653717041038,52.631114616772834,99.05803021315586,706.4994851235693,214.33294718814818
1953-10-01,1953,10,-5.672944111977813,19.38592302117925,47.41607850944127,289.275909076208,110.85024179478881
1953-11-01,1953,11,-16.372945594787552,1.1028300892235166,12.778347222222225,122.78768124228488,47.05952028559297
1953-12-01,1953,12,-18.85506487610516,5.141506608591584,1.361369474313023,102.12312616373644,35.446526459126076
1954-01-01,1954,1,-23.671972553704364,16.666521577882065,5.749644563918758,62.45558243901972,27.663143781617833
1954-02-01,1954,2,-25.48942724409557,9.810054538586854,39.03394510582011,52.75464098866415,23.6869551973257
1954-03-01,1954,3,-10.76568742157309,16.779803193365694,100.35523857590688,188.27696337725445,80.54149537344438
1954-04-01,1954,4,-6.651640658908377,6.533488865215986,197.89942746913584,237.34323699327317,133.8441392538791
1954-05-01,1954,5,7.256800218807768,31.692646007442704,243.80320788530463,573.5684589799635,446.04213791012603
1954-06-01,1954,6,12.076372994316957,83.96848340966301,239.9857654320988,927.2479970083388,482.3069034026911
1954-07-01,1954,7,12.99625098115655,122.18096169957704,184.1046034946237,1052.0233027837858,445.2837341835234
1954-08-01,1954,8,12.04343679694722,67.46235824599722,157.00457586618876,1038.478944699338,368.0195878363784
1954-09-01,1954,9,4.435076501634399,53.85076791809951,100.33959261670525,608.1690969836864,230.2982636952321
