name,bounds,initial,cmtnum,pftnum
nmax,"[1, 10]",7.83213,13,0
nmax,"[1, 10]",2.15058,13,1
nmax,"[1, 10]",5.89014,13,2
nmax,"[1, 10]",2.44476,13,3
nmax,"[1, 10]",1.43693,13,4
krb(0),"[-20, -0.1]",-6.09275,13,0
krb(0),"[-20, -0.1]",-0.408713,13,1
krb(0),"[-20, -0.1]",-9.97657,13,2
krb(0),"[-20, -0.1]",-18.00247,13,3
krb(0),"[-20, -0.1]",-9.93931,13,4
krb(1),"[-20, -0.1]",-8.4565,13,0
krb(1),"[-20, -0.1]",-15.73472,13,2
krb(2),"[-20, -0.1]",-2.75096,13,0
krb(2),"[-20, -0.1]",-0.551998,13,2
krb(2),"[-20, -0.1]",-9.9817,13,3
