time,year,month,air_temperature_celsius,precipitation_mm,shortwave_radiation_wm2,vapor_pressure_pa,vpd_pa
1901-01-01,1901,1,-23.696758,17.757019,5.659722,52.641033,37.277317
1901-02-01,1901,2,-20.548395,18.73545,26.493055,112.93689,5.878563
1901-03-01,1901,3,-11.441995,17.690311,80.48999,109.751335,144.89294
1901-04-01,1901,4,-5.4225545,13.549735,163.05994,189.63437,218.20963
1901-05-01,1901,5,5.4354367,14.79992,184.00981,425.6336,473.50793
1901-06-01,1901,6,13.245123,38.838043,214.13087,851.64795,670.2096
1901-07-01,1901,7,14.487112,44.016617,194.43945,1004.3022,645.4301
1901-08-01,1901,8,11.148356,49.622776,137.99644,873.23346,452.4024
1901-09-01,1901,9,6.32273,29.87198,83.08948,570.76105,385.40216
1901-10-01,1901,10,-2.8160763,58.753216,36.863335,359.78406,136.59366
1901-11-01,1901,11,-15.645186,22.208584,10.057871,91.188644,89.32422
1901-12-01,1901,12,-17.190363,19.74564,1.7476851,112.79779,45.743225
1902-01-01,1902,1,-20.69678,17.757538,5.6597223,71.235664,46.050827
1902-02-01,1902,2,-14.648401,18.735455,26.493053,154.23004,41.85962
1902-03-01,1902,3,-18.641905,17.756348,93.46883,48.0537,92.05502
1902-04-01,1902,4,-4.9226065,13.521663,151.63249,212.75888,210.8912
1902-05-01,1902,5,6.2354937,14.799132,185.8195,446.13525,504.2838
1902-06-01,1902,6,14.045193,38.83804,223.27278,911.626,691.5659
1902-07-01,1902,7,15.387174,44.044975,187.04694,1018.087,730.11273
1902-08-01,1902,8,11.848457,49.637238,134.56139,1015.0945,373.42957
1902-09-01,1902,9,5.322542,29.837006,79.99379,578.99805,313.10785
1902-10-01,1902,10,-2.8162196,14.928745,36.00968,348.1857,148.1867
1902-11-01,1902,11,-18.145132,22.2229,10.05787,103.793686,42.39554
1902-12-01,1902,12,-25.090279,19.78269,1.7476851,64.158875,15.115761
1903-01-01,1903,1,-25.79679,13.617743,5.6597223,17.93514,56.38713
1903-02-01,1903,2,-17.348335,25.669043,26.493055,99.267975,57.167145
1903-03-01,1903,3,-14.341901,32.22308,96.27506,84.99448,116.119965
1903-04-01,1903,4,-5.9225707,7.628112,153.40573,222.10306,170.45801
1903-05-01,1903,5,5.535437,6.1583557,180.14917,470.0172,435.39722
1903-06-01,1903,6,13.545105,15.510177,216.9324,870.83484,681.08374
1903-07-01,1903,7,14.087012,37.828068,189.25174,999.29663,608.24976
1903-08-01,1903,8,12.348435,49.62546,138.569,945.4508,489.57446
1903-09-01,1903,9,5.522592,12.790022,82.52663,580.46204,324.14453
1903-10-01,1903,10,-6.4161825,5.693912,37.817425,258.45248,119.52191
1903-11-01,1903,11,-18.445148,12.408725,10.05787,79.72125,62.76822
1903-12-01,1903,12,-14.790289,3.4870527,1.7476852,161.70074,32.100937
1904-01-01,1904,1,-24.996845,5.436108,5.6597223,35.52461,44.42664
1904-02-01,1904,2,-24.148333,19.513765,26.493055,28.2456,58.09131
1904-03-01,1904,3,-17.341969,12.0838375,82.09356,97.55211,58.967438
