,time,x,y,layer,z,type,LWCLAYER
0,1901-01-01,1,0,0,0.05,1.0,0.0
1,1901-02-01,1,0,0,0.05,1.0,0.0
2,1901-03-01,1,0,0,0.05,1.0,0.0
3,1901-04-01,1,0,0,0.05,1.0,0.0038526097798098667
4,1901-05-01,1,0,0,0.05,1.0,0.12227067919344536
5,1901-06-01,1,0,0,0.05,1.0,0.07906274111814622
6,1901-07-01,1,0,0,0.05,1.0,0.10455015708824363
7,1901-08-01,1,0,0,0.05,1.0,0.1352428212481094
8,1901-09-01,1,0,0,0.05,1.0,0.17191246294767612
9,1901-10-01,1,0,0,0.05,1.0,0.08607227784639299
10,1901-11-01,1,0,0,0.05,1.0,0.0
11,1901-12-01,1,0,0,0.05,1.0,0.0
12,1902-01-01,1,0,0,0.05,1.0,0.0
13,1902-02-01,1,0,0,0.05,1.0,0.0
14,1902-03-01,1,0,0,0.05,1.0,0.0
15,1902-04-01,1,0,0,0.05,1.0,0.005647893822163724
16,1902-05-01,1,0,0,0.05,1.0,0.11098531246458812
17,1902-06-01,1,0,0,0.05,1.0,0.08264610535411948
18,1902-07-01,1,0,0,0.05,1.0,0.09896106316760858
19,1902-08-01,1,0,0,0.05,1.0,0.1281342618631264
20,1902-09-01,1,0,0,0.05,1.0,0.1676855309805175
21,1902-10-01,1,0,0,0.05,1.0,0.08276455663100665
22,1902-11-01,1,0,0,0.05,1.0,0.0
23,1902-12-01,1,0,0,0.05,1.0,0.0
24,1903-01-01,1,0,0,0.05,1.0,0.0
25,1903-02-01,1,0,0,0.05,1.0,0.0
26,1903-03-01,1,0,0,0.05,1.0,0.0
27,1903-04-01,1,0,0,0.05,1.0,0.0010448616299881441
28,1903-05-01,1,0,0,0.05,1.0,0.09444846300223106
29,1903-06-01,1,0,0,0.05,1.0,0.05279380440477707
30,1903-07-01,1,0,0,0.05,1.0,0.08087394971105259
31,1903-08-01,1,0,0,0.05,1.0,0.09817949151176655
32,1903-09-01,1,0,0,0.05,1.0,0.09050221753247914
33,1903-10-01,1,0,0,0.05,1.0,0.00832190671644065
34,1903-11-01,1,0,0,0.05,1.0,0.0
35,1903-12-01,1,0,0,0.05,1.0,0.0
36,1904-01-01,1,0,0,0.05,1.0,0.0
37,1904-02-01,1,0,0,0.05,1.0,0.0
38,1904-03-01,1,0,0,0.05,1.0,0.0
39,1904-04-01,1,0,0,0.05,1.0,0.018011211041269272
40,1904-05-01,1,0,0,0.05,1.0,0.05085982942061158
41,1904-06-01,1,0,0,0.05,1.0,0.054979717653248876
42,1904-07-01,1,0,0,0.05,1.0,0.06052918676206763
43,1904-08-01,1,0,0,0.05,1.0,0.10767711190291099
44,1904-09-01,1,0,0,0.05,1.0,0.08919689762440847
45,1904-10-01,1,0,0,0.05,1.0,0.0051672088499977835
46,1904-11-01,1,0,0,0.05,1.0,0.0
47,1904-12-01,1,0,0,0.05,1.0,0.0
48,1905-01-01,1,0,0,0.05,1.0,0.0
49,1905-02-01,1,0,0,0.05,1.0,0.0
50,1905-03-01,1,0,0,0.05,1.0,0.0
51,1905-04-01,1,0,0,0.05,1.0,0.0316294273455864
52,1905-05-01,1,0,0,0.05,1.0,0.07700397394611497
53,1905-06-01,1,0,0,0.05,1.0,0.08384033742817956
54,1905-07-01,1,0,0,0.05,1.0,0.1512993359018065
55,1905-08-01,1,0,0,0.05,1.0,0.17166281702978806
56,1905-09-01,1,0,0,0.05,1.0,0.141543907047201
57,1905-10-01,1,0,0,0.05,1.0,0.017834737663091342
58,1905-11-01,1,0,0,0.05,1.0,0.0
59,1905-12-01,1,0,0,0.05,1.0,0.0
60,1906-01-01,1,0,0,0.05,1.0,0.0
61,1906-02-01,1,0,0,0.05,1.0,0.0
62,1906-03-01,1,0,0,0.05,1.0,0.0
63,1906-04-01,1,0,0,0.05,1.0,0.025257850790538924
64,1906-05-01,1,0,0,0.05,1.0,0.1043740475113214
65,1906-06-01,1,0,0,0.05,1.0,0.06476964397802706
66,1906-07-01,1,0,0,0.05,1.0,0.09905383366580728
67,1906-08-01,1,0,0,0.05,1.0,0.11881754741461743
68,1906-09-01,1,0,0,0.05,1.0,0.10210799794662107
69,1906-10-01,1,0,0,0.05,1.0,0.06045043595844192
70,1906-11-01,1,0,0,0.05,1.0,0.0
71,1906-12-01,1,0,0,0.05,1.0,0.0
72,1907-01-01,1,0,0,0.05,1.0,0.0
73,1907-02-01,1,0,0,0.05,1.0,0.0
74,1907-03-01,1,0,0,0.05,1.0,0.0
75,1907-04-01,1,0,0,0.05,1.0,0.047271622385138684
76,1907-05-01,1,0,0,0.05,1.0,0.05434706386135968
77,1907-06-01,1,0,0,0.05,1.0,0.08127707504478626
78,1907-07-01,1,0,0,0.05,1.0,0.08360095311246621
79,1907-08-01,1,0,0,0.05,1.0,0.09539093402953665
80,1907-09-01,1,0,0,0.05,1.0,0.1683927845710231
81,1907-10-01,1,0,0,0.05,1.0,0.06950704322574916
82,1907-11-01,1,0,0,0.05,1.0,0.0
83,1907-12-01,1,0,0,0.05,1.0,0.0
